City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,college,64.8569,-147.8028,-12.45,61,44,6.17,US,1682258414
223,manta,-0.95,-80.7333,22.88,94,100,2.06,EC,1682258777
224,bowmore,34.9421,-79.3031,18.83,57,0,0.0,US,1682258792
225,provideniya,64.3833,-173.3,-10.68,92,34,4.8,RU,1682258793
226,olinda,-8.0089,-34.8553,29.85,66,40,4.63,BR,1682258794
227,kon tum,14.35,108.0,21.52,95,100,1.82,VN,1682258795
228,ribeira brava,32.65,-17.0667,22.23,68,13,2.29,PT,1682258502
229,encruzilhada,-15.5314,-40.9094,20.33,93,99,2.77,BR,1682258738
230,hefei,31.8639,117.2808,10.01,93,100,5.0,CN,1682258799
231,novo aripuana,-5.1206,-60.3797,24.9,86,100,1.6,BR,1682258527
232,port blair,11.6667,92.75,29.28,71,10,2.01,IN,1682258457
233,omaruru,-21.4333,15.9333,30.79,29,92,5.16,NA,1682258805
234,bastia,42.6667,9.3333,21.89,79,75,2.57,FR,1682258793
235,waipawa,-41.4122,175.5153,12.33,81,79,2.51,NZ,1682258807
236,port lincoln,-34.7333,135.8667,18.47,72,0,4.55,AU,1682258521
237,nikolskoye,59.7035,30.7861,16.94,37,68,2.19,RU,1682258810
238,centralia,46.7162,-122.9543,9.63,96,100,2.57,US,1682258811
239,wakkanai,45.4094,141.6739,2.38,82,100,4.98,JP,1682258812
240,sabha,27.0377,14.4283,32.93,13,0,5.57,LY,1682258813
241,thinadhoo,0.5333,72.9333,29.33,73,100,4.61,MV,1682258611
242,le port,-20.9373,55.2919,27.98,100,90,3.54,RE,1682258410
243,ullal,12.8,74.85,28.46,72,5,7.35,IN,1682258817
244,asau,46.4333,26.4,17.51,63,99,1.35,RO,1682258819
245,klaksvik,62.2266,-6.589,2.51,63,100,12.38,FO,1682258820
246,ishigaki,24.3448,124.1572,23.93,79,40,1.83,JP,1682258821
247,talnakh,69.4865,88.3972,2.34,93,98,7.09,RU,1682258445
248,tongzi,28.7829,105.0877,12.46,84,100,1.82,CN,1682258824
249,kokopo,-4.352,152.2633,24.75,85,100,1.75,PG,1682258825
250,gushikawa,26.3544,127.8686,21.57,77,3,4.34,JP,1682258826
251,mecca,21.4267,39.8261,35.98,29,73,7.7,SA,1682258828
252,pingzhuang,42.0372,119.2889,7.61,16,98,2.63,CN,1682258829
253,mareeba,-17.0,145.4333,21.91,93,100,2.67,AU,1682258831
254,santa cruz do sul,-29.7175,-52.4258,24.55,44,100,1.84,BR,1682258577
255,shenjiamen,29.9576,122.298,14.89,83,98,5.76,CN,1682258451
256,maple creek,49.9168,-109.4848,1.1,66,52,5.94,CA,1682258835
257,zemio,5.0314,25.1361,31.05,44,100,3.15,CF,1682258490
258,suamico,44.6319,-88.0393,2.94,69,100,3.09,US,1682258837
259,ribeira grande,38.5167,-28.7,18.22,94,75,7.15,PT,1682258427
260,ocampo,21.65,-101.5,18.01,27,38,3.46,MX,1682258840
261,whitehorse,60.7161,-135.0538,2.43,93,100,5.14,CA,1682258147
262,duvan,55.695,57.9024,11.69,53,46,3.38,RU,1682258842
263,burgos,42.3394,-3.7079,17.23,51,75,10.29,ES,1682258843
264,broken hill,-31.95,141.4333,17.41,49,0,5.81,AU,1682258424
265,mastic beach,40.7668,-72.8521,14.5,97,100,5.81,US,1682258846
266,tura,25.5198,90.2201,20.94,64,100,4.86,IN,1682258449
267,leningradskiy,69.3833,178.4167,-17.64,94,58,7.35,RU,1682258850
268,port hardy,50.6996,-127.4199,7.53,89,100,2.15,CA,1682258851
269,sitka,57.0531,-135.33,6.94,81,100,3.6,US,1682258852
270,nhulunbuy,-12.2333,136.7667,28.34,78,75,6.17,AU,1682258854
271,kavaratti,10.5669,72.642,28.97,71,3,6.75,IN,1682258513
272,partenit,44.578,34.3446,11.44,75,84,0.8,UA,1682258856
273,maniitsoq,65.4167,-52.9,1.95,85,100,1.98,GL,1682258858
274,cassilandia,-19.1133,-51.7342,25.16,70,1,4.36,BR,1682258839
275,oranjemund,-28.55,16.4333,19.37,46,73,4.34,NA,1682258476
276,tazovskiy,67.4667,78.7,0.68,98,100,6.38,RU,1682258861
277,parabel,58.6978,81.4825,4.08,84,97,4.29,RU,1682258863
278,katsuura,35.1333,140.3,13.27,74,100,3.48,JP,1682258491
279,chibombo,-14.6569,28.0706,29.08,37,62,3.96,ZM,1682258865
280,deputatskiy,69.3,139.9,-12.42,97,100,1.54,RU,1682258868
281,rovaniemi,66.5,25.7167,2.67,32,0,3.6,FI,1682258810
282,novocherkassk,47.4181,40.0939,13.01,82,40,2.0,RU,1682258871
283,praia da vitoria,38.7333,-27.0667,21.14,83,75,9.05,PT,1682258510
284,la malbaie,47.6575,-70.1559,8.7,74,100,1.62,CA,1682258873
285,vanimo,-2.6741,141.3028,25.88,86,94,1.53,PG,1682258874
286,saiha,22.4833,92.9667,20.5,91,3,1.26,IN,1682258875
287,enkhuizen,52.7,5.2833,17.22,77,100,7.08,NL,1682258851
288,victoria,22.2855,114.1577,24.41,89,53,5.36,HK,1682258829
289,moose factory,51.2585,-80.6094,-2.01,93,100,5.66,CA,1682258879
290,port hedland,-20.3167,118.5667,25.03,78,40,0.0,AU,1682258880
291,shingu,33.7333,135.9833,13.46,60,100,2.4,JP,1682258883
292,xuanhua,40.6103,115.0447,9.51,45,100,3.19,CN,1682258884
293,isangel,-19.55,169.2667,25.13,78,45,2.86,VU,1682258459
294,mount isa,-20.7333,139.5,22.87,46,75,4.12,AU,1682258481
295,ola,59.5833,151.2833,0.32,59,95,9.45,RU,1682258519
296,palu,-0.8917,119.8707,25.44,95,100,0.86,ID,1682258890
297,nkan,0.3833,9.7833,34.15,46,68,1.27,GA,1682258891
298,port hawkesbury,45.6169,-61.3485,11.61,74,6,2.24,CA,1682258893
299,abnub,27.2696,31.1511,32.68,13,100,4.2,EG,1682258894
300,eureka,40.8021,-124.1637,13.75,97,100,2.68,US,1682258895
301,seinajoki,62.7945,22.8282,4.83,89,100,3.13,FI,1682258897
302,veraval,20.9,70.3667,27.46,74,1,6.67,IN,1682258898
303,alappuzha,9.49,76.3264,30.56,76,49,5.2,IN,1682258900
304,lorengau,-2.0226,147.2712,26.95,84,100,2.29,PG,1682258901
305,antofagasta,-23.65,-70.4,17.6,69,2,3.28,CL,1682258250
306,narsaq,60.9167,-46.05,5.12,64,45,0.85,GL,1682258903
307,cap-aux-meules,47.3821,-61.8597,5.03,81,20,6.17,CA,1682258676
308,ozernovskiy,51.5,156.5167,-0.38,99,100,7.8,RU,1682258906
309,havelock,34.8791,-76.9013,18.97,74,0,2.06,US,1682258608
310,bathurst,-33.4166,149.5806,14.35,91,98,0.45,AU,1682258908
311,bambous virieux,-20.3428,57.7575,27.14,78,75,3.6,MU,1682258910
312,xam nua,20.4197,104.0439,20.48,75,87,1.25,LA,1682258498
313,limbang,4.75,115.0,30.06,94,96,0.96,MY,1682258912
314,miri,4.4148,114.0089,27.12,84,53,2.32,MY,1682258914
